well,synthetic_spot_count,spot_count,resolved_spot_count,signal_equivalent_count,count_method,absolute_error,well_qc
E3,1,1,1,0.8806253961546587,resolved_peaks,0,PASS
E4,14,16,16,15.787872385379252,resolved_peaks,2,PASS
E5,26,27,25,26.948658356222268,signal_equivalent_crowding_corrected,1,PASS
E6,20,18,18,22.782167758292836,resolved_peaks,2,PASS
E7,66,60,35,57.855905345446864,signal_equivalent_crowding_corrected,6,PASS
E8,59,63,33,60.569617578702726,signal_equivalent_crowding_corrected,4,PASS
E9,64,64,41,61.809423198816816,signal_equivalent_crowding_corrected,0,PASS
E10,154,144,59,131.68223114303825,signal_equivalent_crowding_corrected,10,WARN_CROWDED
E11,170,152,67,138.4982040988802,signal_equivalent_crowding_corrected,18,WARN_CROWDED
E12,151,149,67,135.77773082611452,signal_equivalent_crowding_corrected,2,WARN_CROWDED
F1,4,4,4,4.979505598985844,resolved_peaks,0,PASS
F2,4,5,5,4.212972744559476,resolved_peaks,1,PASS
F3,5,4,4,3.6873019226706107,resolved_peaks,1,PASS
F4,21,20,20,21.001478977392775,resolved_peaks,1,PASS
F5,19,16,16,15.285020071836044,resolved_peaks,3,PASS
F6,20,16,16,17.779843650961336,resolved_peaks,4,PASS
F7,51,48,33,46.22015634903867,signal_equivalent_crowding_corrected,3,PASS
F8,73,74,47,70.52609338685824,signal_equivalent_crowding_corrected,1,PASS
F9,64,66,44,63.034016480033806,signal_equivalent_crowding_corrected,2,PASS
F10,132,124,60,115.24107331502219,signal_equivalent_crowding_corrected,8,WARN_CROWDED
F11,132,132,55,122.03422776251848,signal_equivalent_crowding_corrected,0,WARN_CROWDED
F12,133,132,53,121.72406507500529,signal_equivalent_crowding_corrected,1,WARN_CROWDED
G1,1,1,1,1.0386646946968097,resolved_peaks,0,PASS
G2,5,5,5,5.253327699133742,resolved_peaks,0,PASS
G3,2,2,2,1.6353264314388338,resolved_peaks,0,PASS
G4,23,24,21,24.069300654975702,signal_equivalent_crowding_corrected,1,PASS
G5,11,9,9,8.97274455947602,resolved_peaks,2,PASS
G6,11,12,12,13.90069723219945,resolved_peaks,1,PASS
G7,61,62,36,59.837735051764206,signal_equivalent_crowding_corrected,1,PASS
G8,51,50,31,48.371857173040354,signal_equivalent_crowding_corrected,1,PASS
G9,48,53,32,51.64927107542785,signal_equivalent_crowding_corrected,5,PASS
G10,103,98,56,92.27213184027045,signal_equivalent_crowding_corrected,5,WARN_CROWDED
G11,97,98,48,92.50538770335939,signal_equivalent_crowding_corrected,1,PASS
G12,103,104,64,97.3243186139869,signal_equivalent_crowding_corrected,1,WARN_CROWDED
H1,2,2,2,3.6949080921191633,resolved_peaks,0,PASS
H2,3,3,3,2.224381998732305,resolved_peaks,0,PASS
H3,2,2,2,1.4384111557151913,resolved_peaks,0,PASS
H4,10,7,7,9.61081766321572,resolved_peaks,3,PASS
H5,14,13,13,14.883583350940206,resolved_peaks,1,PASS
H6,20,22,22,21.454468624551026,signal_equivalent_crowding_corrected,2,PASS
H7,40,38,35,37.31248679484471,signal_equivalent_crowding_corrected,2,PASS
H8,35,29,29,28.585675047538558,signal_equivalent_crowding_corrected,6,PASS
H9,64,62,46,59.66532854426368,signal_equivalent_crowding_corrected,2,PASS
H10,101,108,44,101.42488907669554,signal_equivalent_crowding_corrected,7,WARN_CROWDED
H11,76,78,45,73.9776040566237,signal_equivalent_crowding_corrected,2,PASS
H12,96,96,52,90.14155926473696,signal_equivalent_crowding_corrected,0,PASS
