well,synthetic_spot_count,spot_count,resolved_spot_count,signal_equivalent_count,count_method,absolute_error,well_qc
C7,13,14,14,16.20647948164147,resolved_peaks,1,PASS
C8,5,5,5,5.224190064794817,resolved_peaks,0,PASS
C9,8,8,8,9.18963282937365,resolved_peaks,0,PASS
C10,12,14,14,14.428509719222463,resolved_peaks,2,PASS
C11,13,12,12,13.352051835853132,resolved_peaks,1,PASS
C12,4,4,4,3.6311015118790495,resolved_peaks,0,PASS
D1,41,42,33,41.1732181425486,signal_equivalent_crowding_corrected,1,PASS
D2,33,32,22,31.318358531317493,signal_equivalent_crowding_corrected,1,PASS
D3,17,16,16,18.458747300215983,resolved_peaks,1,PASS
D4,13,14,14,18.26436285097192,resolved_peaks,1,PASS
D5,33,29,25,28.52095032397408,signal_equivalent_crowding_corrected,4,PASS
D6,33,32,28,31.550755939524837,signal_equivalent_crowding_corrected,1,PASS
D7,23,15,15,26.12181425485961,resolved_peaks,8,PASS
D8,14,13,13,11.453995680345573,resolved_peaks,1,PASS
D9,22,17,17,23.75205183585313,resolved_peaks,5,PASS
D10,44,45,28,43.365874730021595,signal_equivalent_crowding_corrected,1,PASS
D11,35,34,30,33.73477321814255,signal_equivalent_crowding_corrected,1,PASS
D12,18,17,17,20.50539956803456,resolved_peaks,1,PASS
E1,79,81,51,77.26393088552916,signal_equivalent_crowding_corrected,2,PASS
E2,56,54,33,52.12786177105831,signal_equivalent_crowding_corrected,2,PASS
E3,35,32,21,31.3658747300216,signal_equivalent_crowding_corrected,3,PASS
E4,43,45,36,43.98012958963283,signal_equivalent_crowding_corrected,2,PASS
E5,50,51,36,49.32613390928726,signal_equivalent_crowding_corrected,1,PASS
E6,53,54,34,51.90842332613391,signal_equivalent_crowding_corrected,1,PASS
E7,47,49,37,47.31144708423326,signal_equivalent_crowding_corrected,2,PASS
E8,29,30,26,29.471274298056155,signal_equivalent_crowding_corrected,1,PASS
E9,27,35,26,34.1183585313175,signal_equivalent_crowding_corrected,8,PASS
E10,63,67,37,64.71792656587473,signal_equivalent_crowding_corrected,4,PASS
E11,54,50,36,48.09330453563715,signal_equivalent_crowding_corrected,4,PASS
E12,48,53,31,50.94168466522678,signal_equivalent_crowding_corrected,5,PASS
F1,94,105,52,98.83369330453564,signal_equivalent_crowding_corrected,11,WARN_CROWDED
F2,73,68,47,65.49719222462203,signal_equivalent_crowding_corrected,5,PASS
F3,60,71,44,68.06911447084234,signal_equivalent_crowding_corrected,11,PASS
F4,71,67,38,64.05788336933045,signal_equivalent_crowding_corrected,4,PASS
F5,74,74,57,71.08855291576674,signal_equivalent_crowding_corrected,0,PASS
F6,84,83,47,79.25788336933046,signal_equivalent_crowding_corrected,1,PASS
F7,73,80,46,75.73736501079914,signal_equivalent_crowding_corrected,7,PASS
F8,58,64,40,61.86781857451404,signal_equivalent_crowding_corrected,6,PASS
F9,68,71,48,67.93261339092872,signal_equivalent_crowding_corrected,3,PASS
F10,94,98,51,92.58833693304535,signal_equivalent_crowding_corrected,4,WARN_CROWDED
F11,86,80,50,76.19006479481641,signal_equivalent_crowding_corrected,6,PASS
F12,53,50,40,48.87948164146868,signal_equivalent_crowding_corrected,3,PASS
G1,152,148,59,134.9244060475162,signal_equivalent_crowding_corrected,4,WARN_CROWDED
G2,120,119,57,110.81123110151188,signal_equivalent_crowding_corrected,1,WARN_CROWDED
G3,87,88,54,82.97969762419007,signal_equivalent_crowding_corrected,1,PASS
G4,81,78,43,74.4025917926566,signal_equivalent_crowding_corrected,3,PASS
G5,109,110,54,102.86479481641469,signal_equivalent_crowding_corrected,1,WARN_CROWDED
G6,143,145,64,132.75075593952485,signal_equivalent_crowding_corrected,2,WARN_CROWDED
G7,103,100,48,93.65097192224621,signal_equivalent_crowding_corrected,3,WARN_CROWDED
G8,75,77,45,73.25097192224622,signal_equivalent_crowding_corrected,2,PASS
G9,86,84,51,80.08812095032397,signal_equivalent_crowding_corrected,2,PASS
G10,125,128,48,118.7023758099352,signal_equivalent_crowding_corrected,3,WARN_CROWDED
G11,128,136,61,124.6634989200864,signal_equivalent_crowding_corrected,8,WARN_CROWDED
G12,84,86,55,81.48682505399567,signal_equivalent_crowding_corrected,2,PASS
H1,162,162,62,147.00561555075595,signal_equivalent_crowding_corrected,0,WARN_CROWDED
H2,171,161,66,145.99308855291576,signal_equivalent_crowding_corrected,10,WARN_CROWDED
H3,115,121,57,112.27818574514039,signal_equivalent_crowding_corrected,6,WARN_CROWDED
H4,125,130,61,120.10280777537797,signal_equivalent_crowding_corrected,5,WARN_CROWDED
H5,163,156,71,141.87904967602591,signal_equivalent_crowding_corrected,7,WARN_CROWDED
H6,194,180,75,160.9598272138229,signal_equivalent_crowding_corrected,14,WARN_CROWDED
H7,154,158,57,143.62419006479482,signal_equivalent_crowding_corrected,4,WARN_CROWDED
H8,111,121,55,111.94730021598272,signal_equivalent_crowding_corrected,10,WARN_CROWDED
H9,120,130,55,120.30323974082073,signal_equivalent_crowding_corrected,10,WARN_CROWDED
H10,183,178,71,159.20172786177105,signal_equivalent_crowding_corrected,5,WARN_CROWDED
H11,201,197,65,174.27991360691144,signal_equivalent_crowding_corrected,4,WARN_CROWDED
H12,110,101,57,94.67041036717063,signal_equivalent_crowding_corrected,9,WARN_CROWDED
